processo_25,id
156,0123401-44.2025.8.16.0000
157,0088952-60.2025.8.16.0000
158,0145879-46.2025.8.16.0000
159,0001522-89.1991.8.16.0185
160,0005802-28.2005.8.16.0116
161,0003496-36.2025.8.16.0100
162,0119399-31.2025.8.16.0000
163,0132346-20.2025.8.16.0000
164,0146082-08.2025.8.16.0000
165,0098517-48.2025.8.16.0000
166,0116446-94.2025.8.16.0000
167,0150852-44.2025.8.16.0000
168,0042866-31.2025.8.16.0000
169,0143118-42.2025.8.16.0000
170,0001283-15.2024.8.16.0190
171,0151785-17.2025.8.16.0000
172,0077675-47.2025.8.16.0000
173,0064053-95.2025.8.16.0000
174,0103426-36.2025.8.16.0000
175,0116088-32.2025.8.16.0000
176,0068529-79.2025.8.16.0000
177,0042345-86.2025.8.16.0000
178,0027138-81.2024.8.16.0000
179,0044724-97.2025.8.16.0000
180,4005873-53.2025.8.16.4321
181,0151688-17.2025.8.16.0000
182,0147311-03.2025.8.16.0000
183,0001324-21.2024.8.16.0080
184,0126736-71.2025.8.16.0000
185,0147327-54.2025.8.16.0000
186,0139046-12.2025.8.16.0000
187,0005209-44.2020.8.16.0028
188,0005238-19.2019.8.16.0129
189,0006306-58.2023.8.16.0001
190,0004061-92.2025.8.16.0134
191,0139530-27.2025.8.16.0000
192,0135277-93.2025.8.16.0000
193,0136088-53.2025.8.16.0000
194,0003870-24.2025.8.16.0174
195,0146856-38.2025.8.16.0000
196,0133619-34.2025.8.16.0000
197,0001272-72.2023.8.16.0108
198,0005444-02.2016.8.16.0044
199,0009884-83.2024.8.16.0004
200,0132389-54.2025.8.16.0000
201,0093316-12.2024.8.16.0000
202,0143955-97.2025.8.16.0000
203,0093112-31.2025.8.16.0000
204,0011067-64.2008.8.16.0129
205,0007236-71.2025.8.16.0174
206,0007496-51.2025.8.16.0174
207,0005238-68.2025.8.16.0174
208,0097108-37.2025.8.16.0000
209,0151544-43.2025.8.16.0000
210,0011814-34.2022.8.16.0190
211,0004054-77.2025.8.16.0077
212,0007496-75.2025.8.16.0069
213,0002905-46.2025.8.16.0077
214,0010637-60.2025.8.16.0083
215,0009404-96.2025.8.16.0028
216,0124179-14.2025.8.16.0000
217,0149681-52.2025.8.16.0000
218,0137631-91.2025.8.16.0000
219,0127044-10.2025.8.16.0000
220,0011504-74.2025.8.16.0173
221,0044196-21.2025.8.16.0014
222,0073559-95.2025.8.16.0000
223,0000105-48.2025.8.16.0173
224,0125029-68.2025.8.16.0000
225,0118503-85.2025.8.16.0000
226,0150724-24.2025.8.16.0000
227,0006392-37.2023.8.16.0160
228,0006530-86.2023.8.16.0165
229,0107192-97.2025.8.16.0000
230,0014974-62.2016.8.16.0001
231,0090302-83.2025.8.16.0000
232,0002253-38.2021.8.16.0087
233,0004661-28.2019.8.16.0004
234,0126137-35.2025.8.16.0000
235,0131250-67.2025.8.16.0000
236,0150439-31.2025.8.16.0000
237,0150542-38.2025.8.16.0000
238,0134059-30.2025.8.16.0000
239,0025085-70.2024.8.16.0019
240,0001558-16.2023.8.16.0184
241,0099792-32.2025.8.16.0000
242,0134187-50.2025.8.16.0000
243,0084703-66.2025.8.16.0000
244,0114175-15.2025.8.16.0000
245,0107083-83.2025.8.16.0000
246,0100423-73.2025.8.16.0000
247,0151738-43.2025.8.16.0000
248,0013580-34.2024.8.16.0035
249,0121919-61.2025.8.16.0000
250,0151408-46.2025.8.16.0000
251,0114079-97.2025.8.16.0000
252,0041420-24.2024.8.16.0001
253,0000614-69.2025.8.16.0046
254,0000311-59.2023.8.16.0035
255,0150788-34.2025.8.16.0000
256,0072292-88.2025.8.16.0000
257,0010362-86.2022.8.16.0190
258,0008448-16.2024.8.16.0190
259,0008893-34.2024.8.16.0190
260,0152724-94.2025.8.16.0000
261,0008683-48.2021.8.16.0170
262,0127276-22.2025.8.16.0000
263,4004193-33.2025.8.16.4321
264,0151644-95.2025.8.16.0000
265,0152344-71.2025.8.16.0000
266,0099014-62.2025.8.16.0000
267,0152361-10.2025.8.16.0000
268,0152050-19.2025.8.16.0000
269,0151534-96.2025.8.16.0000
