pagina,num_registros_ok,id_chunk,timestamp
1,0,0,2026-01-05T20:19:00.361395
5,0,0,2026-01-05T20:19:00.694077
6,0,0,2026-01-05T20:19:00.815048
9,0,0,2026-01-05T20:19:00.895350
7,10,1,2026-01-05T20:19:01.070267
10,18,1,2026-01-05T20:19:01.583540
4,27,1,2026-01-05T20:19:02.579269
3,34,1,2026-01-05T20:19:02.977817
8,29,1,2026-01-05T20:19:03.919700
2,42,1,2026-01-05T20:19:03.924097
18,2,1,2026-01-05T20:19:05.147901
11,37,1,2026-01-05T20:19:05.612961
17,11,1,2026-01-05T20:19:05.695017
19,0,0,2026-01-05T20:19:06.405711
20,0,0,2026-01-05T20:19:07.652464
21,1,1,2026-01-05T20:19:08.696883
13,50,1,2026-01-05T20:19:08.750456
22,2,1,2026-01-05T20:19:09.934074
24,0,0,2026-01-05T20:19:10.027548
12,50,1,2026-01-05T20:19:10.049318
16,43,1,2026-01-05T20:19:10.465231
25,0,0,2026-01-05T20:19:10.851736
14,50,1,2026-01-05T20:19:11.078108
26,0,0,2026-01-05T20:19:11.277480
23,16,1,2026-01-05T20:19:11.406365
15,22,1,2026-01-05T20:19:11.439957
27,30,1,2026-01-05T20:19:11.846214
30,40,1,2026-01-05T20:19:15.158652
28,48,1,2026-01-05T20:19:15.318618
29,38,1,2026-01-05T20:19:16.492175
31,26,1,2026-01-05T20:19:16.826332
33,45,1,2026-01-05T20:19:19.970055
32,41,1,2026-01-05T20:19:20.883431
34,43,1,2026-01-05T20:19:24.002947
35,27,1,2026-01-05T20:19:24.195015
37,29,1,2026-01-05T20:19:25.744721
40,32,1,2026-01-05T20:19:29.039538
39,41,1,2026-01-05T20:19:30.210788
38,38,1,2026-01-05T20:19:30.733613
36,47,1,2026-01-05T20:19:31.880468
41,48,2,2026-01-05T20:19:33.493915
42,38,2,2026-01-05T20:19:41.444645
49,30,2,2026-01-05T20:19:48.767676
48,49,2,2026-01-05T20:19:49.896892
43,43,2,2026-01-05T20:19:49.919528
46,41,2,2026-01-05T20:19:49.945998
45,44,2,2026-01-05T20:19:50.522516
50,39,2,2026-01-05T20:19:51.353311
44,49,2,2026-01-05T20:19:51.433664
47,50,2,2026-01-05T20:19:51.532038
54,6,2,2026-01-05T20:19:51.779549
59,3,2,2026-01-05T20:19:52.905383
58,14,2,2026-01-05T20:19:55.478374
51,49,2,2026-01-05T20:19:56.592181
55,27,2,2026-01-05T20:19:59.710421
56,25,2,2026-01-05T20:20:00.392286
53,47,2,2026-01-05T20:20:01.223268
57,28,2,2026-01-05T20:20:02.739180
60,24,2,2026-01-05T20:20:03.021699
52,50,2,2026-01-05T20:20:04.426261
67,50,2,2026-01-05T20:20:07.739510
61,47,2,2026-01-05T20:20:08.872369
68,50,2,2026-01-05T20:20:12.269092
66,50,2,2026-01-05T20:20:14.752966
63,43,2,2026-01-05T20:20:16.438874
69,50,2,2026-01-05T20:20:20.080523
65,49,2,2026-01-05T20:20:22.706346
62,43,2,2026-01-05T20:20:22.848311
64,45,2,2026-01-05T20:20:24.885465
74,30,3,2026-01-05T20:20:26.532765
75,0,0,2026-01-05T20:20:27.619086
73,50,3,2026-01-05T20:20:27.676001
70,50,3,2026-01-05T20:20:28.282366
76,0,0,2026-01-05T20:20:29.990660
71,50,3,2026-01-05T20:20:30.818881
77,0,0,2026-01-05T20:20:31.923160
78,16,3,2026-01-05T20:20:33.080900
72,50,3,2026-01-05T20:20:33.375783
79,30,3,2026-01-05T20:20:37.884020
80,38,3,2026-01-05T20:20:40.692708
82,35,3,2026-01-05T20:20:43.696894
81,43,3,2026-01-05T20:20:44.373979
83,30,3,2026-01-05T20:20:45.667711
85,41,3,2026-01-05T20:20:46.706830
86,35,3,2026-01-05T20:20:46.745722
84,35,3,2026-01-05T20:20:47.433761
87,26,3,2026-01-05T20:20:48.219351
88,46,3,2026-01-05T20:20:54.418723
89,44,3,2026-01-05T20:20:58.779996
90,40,3,2026-01-05T20:20:59.803834
92,39,3,2026-01-05T20:21:01.094315
96,19,3,2026-01-05T20:21:01.195387
91,41,3,2026-01-05T20:21:02.395641
95,38,3,2026-01-05T20:21:03.225468
94,34,3,2026-01-05T20:21:04.422306
103,1,3,2026-01-05T20:21:04.891847
93,35,3,2026-01-05T20:21:04.897215
102,4,3,2026-01-05T20:21:04.925385
97,45,3,2026-01-05T20:21:06.185705
101,22,3,2026-01-05T20:21:12.119668
100,38,3,2026-01-05T20:21:13.192378
98,38,3,2026-01-05T20:21:13.410242
