Id_processo,processo_25,pagina_extraida,chunk_inserida,timestamp,status
0,N/A,2,0,2026-01-07T01:21:56.932405,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932411,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932417,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932423,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932429,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932435,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932441,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932448,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932454,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932461,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932467,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932474,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932480,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932487,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932494,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932500,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932506,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932512,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932518,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932524,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932531,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932537,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932543,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932549,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932555,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932560,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932566,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932572,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932579,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932584,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932590,ignorado
0,N/A,2,0,2026-01-07T01:21:56.932595,ignorado
0,N/A,1,0,2026-01-07T01:21:56.954073,ignorado
0,N/A,1,0,2026-01-07T01:21:56.954081,ignorado
0,N/A,1,0,2026-01-07T01:21:56.954119,ignorado
0,N/A,1,0,2026-01-07T01:21:56.954126,ignorado
0,N/A,1,0,2026-01-07T01:21:56.954136,ignorado
0,N/A,1,0,2026-01-07T01:21:56.954164,ignorado
0,N/A,1,0,2026-01-07T01:21:56.954198,ignorado
0,N/A,1,0,2026-01-07T01:21:56.954241,ignorado
0,N/A,1,0,2026-01-07T01:21:56.954247,ignorado
0,N/A,1,0,2026-01-07T01:21:56.954252,ignorado
0,N/A,1,0,2026-01-07T01:21:56.954258,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762586,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762595,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762602,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762609,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762616,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762623,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762631,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762637,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762644,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762651,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762658,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762664,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762671,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762678,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762684,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762691,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762698,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762705,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762711,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762718,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762724,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762731,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762737,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762744,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762750,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762761,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762768,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762774,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762789,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762795,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762821,ignorado
0,N/A,10,0,2026-01-07T01:22:00.762828,ignorado
0,N/A,10,0,2026-01-07T01:22:00.794697,ignorado
0,N/A,11,0,2026-01-07T01:22:11.054014,ignorado
