Id,chunk_entrada,chunk_saida,status,tokens,timestamp
2,000001.tar,000001,sucesso,9709,2026-01-07T02:59:56.791877
4,000001.tar,000001,sucesso,14201,2026-01-07T02:59:59.088861
5,000001.tar,000001,sucesso,11015,2026-01-07T02:59:59.151228
3,000001.tar,000001,sucesso,11006,2026-01-07T02:59:59.226904
1,000001.tar,000001,sucesso,16602,2026-01-07T03:00:00.263732
6,000001.tar,000001,sucesso,11068,2026-01-07T03:00:03.392614
7,000001.tar,000001,sucesso,11371,2026-01-07T03:00:05.771483
8,000001.tar,000001,sucesso,9399,2026-01-07T03:00:07.755967
9,000001.tar,000001,sucesso,11346,2026-01-07T03:00:09.858214
10,000001.tar,000001,sucesso,9680,2026-01-07T03:00:10.720920
12,000001.tar,000001,sucesso,10264,2026-01-07T03:00:10.901595
14,000001.tar,000001,sucesso,8822,2026-01-07T03:00:13.438821
11,000001.tar,000001,sucesso,13312,2026-01-07T03:00:14.700284
17,000001.tar,000001,sucesso,9447,2026-01-07T03:00:16.774227
13,000001.tar,000001,sucesso,12474,2026-01-07T03:00:17.237739
15,000001.tar,000001,sucesso,12521,2026-01-07T03:00:19.036299
16,000001.tar,000001,sucesso,11984,2026-01-07T03:00:20.772434
19,000001.tar,000001,sucesso,15601,2026-01-07T03:00:21.627304
18,000001.tar,000001,sucesso,12736,2026-01-07T03:00:23.172196
20,000001.tar,000001,sucesso,8722,2026-01-07T03:00:23.761031
21,000001.tar,000001,sucesso,14494,2026-01-07T03:00:23.866721
23,000001.tar,000001,sucesso,11367,2026-01-07T03:00:28.864630
27,000001.tar,000001,sucesso,8211,2026-01-07T03:00:29.465895
26,000001.tar,000001,sucesso,12889,2026-01-07T03:00:29.577611
25,000001.tar,000001,sucesso,12659,2026-01-07T03:00:31.076012
24,000001.tar,000001,sucesso,9560,2026-01-07T03:00:31.274743
22,000001.tar,000001,sucesso,15117,2026-01-07T03:00:32.408485
28,000001.tar,000001,sucesso,10496,2026-01-07T03:00:36.683118
29,000001.tar,000001,sucesso,14991,2026-01-07T03:00:37.982814
30,000001.tar,000001,sucesso,11277,2026-01-07T03:00:38.343437
35,000001.tar,000001,sucesso,10309,2026-01-07T03:00:56.144002
34,000001.tar,000001,sucesso,14351,2026-01-07T03:00:56.756362
36,000001.tar,000001,sucesso,10753,2026-01-07T03:00:57.565050
33,000001.tar,000001,sucesso,9619,2026-01-07T03:00:58.294454
31,000001.tar,000001,sucesso,11107,2026-01-07T03:00:58.566778
32,000001.tar,000001,sucesso,11678,2026-01-07T03:01:03.252572
37,000001.tar,000001,sucesso,9904,2026-01-07T03:01:05.746894
38,000001.tar,000001,sucesso,10281,2026-01-07T03:01:06.343816
39,000001.tar,000001,sucesso,13587,2026-01-07T03:01:07.166822
40,000001.tar,000001,sucesso,16035,2026-01-07T03:01:08.503424
41,000001.tar,000001,sucesso,15681,2026-01-07T03:01:11.457866
43,000001.tar,000001,sucesso,15784,2026-01-07T03:01:12.169765
42,000001.tar,000001,sucesso,14299,2026-01-07T03:01:13.613234
44,000001.tar,000001,sucesso,10702,2026-01-07T03:01:17.167802
47,000001.tar,000001,sucesso,15087,2026-01-07T03:01:19.272667
45,000001.tar,000001,sucesso,9937,2026-01-07T03:01:19.362856
46,000001.tar,000001,sucesso,10706,2026-01-07T03:01:20.185706
49,000001.tar,000001,sucesso,15089,2026-01-07T03:01:22.723165
48,000001.tar,000001,sucesso,13307,2026-01-07T03:01:24.147717
50,000001.tar,000001,sucesso,12662,2026-01-07T03:01:24.931154
52,000001.tar,000001,sucesso,11669,2026-01-07T03:01:27.813515
54,000001.tar,000001,sucesso,9688,2026-01-07T03:01:29.324737
51,000001.tar,000001,sucesso,10598,2026-01-07T03:01:29.951235
53,000001.tar,000001,sucesso,12472,2026-01-07T03:01:30.417971
58,000001.tar,000001,sucesso,13265,2026-01-07T03:01:33.098940
55,000001.tar,000001,sucesso,11234,2026-01-07T03:01:34.657069
57,000001.tar,000001,sucesso,11301,2026-01-07T03:01:36.802462
56,000001.tar,000001,sucesso,13692,2026-01-07T03:01:36.815269
59,000001.tar,000001,sucesso,13243,2026-01-07T03:01:39.907943
60,000001.tar,000001,sucesso,11667,2026-01-07T03:01:41.451250
61,000001.tar,000001,sucesso,11480,2026-01-07T03:01:56.898603
66,000001.tar,000001,sucesso,11662,2026-01-07T03:01:58.897651
63,000001.tar,000001,sucesso,11756,2026-01-07T03:01:59.155827
65,000001.tar,000001,sucesso,10753,2026-01-07T03:01:59.592518
62,000001.tar,000001,sucesso,12681,2026-01-07T03:01:59.785624
64,000001.tar,000001,sucesso,12156,2026-01-07T03:02:01.009302
67,000001.tar,000001,sucesso,8408,2026-01-07T03:02:02.244142
68,000001.tar,000001,sucesso,11774,2026-01-07T03:02:05.469334
70,000001.tar,000001,sucesso,8262,2026-01-07T03:02:05.475048
69,000001.tar,000001,sucesso,10573,2026-01-07T03:02:09.148527
72,000001.tar,000001,sucesso,11604,2026-01-07T03:02:11.260846
73,000001.tar,000001,sucesso,12692,2026-01-07T03:02:11.412185
71,000001.tar,000001,sucesso,13259,2026-01-07T03:02:13.995953
74,000001.tar,000001,sucesso,9285,2026-01-07T03:02:15.499249
77,000001.tar,000001,sucesso,11555,2026-01-07T03:02:18.130781
75,000001.tar,000001,sucesso,12684,2026-01-07T03:02:18.701289
79,000001.tar,000001,sucesso,9519,2026-01-07T03:02:21.473236
76,000001.tar,000001,sucesso,12616,2026-01-07T03:02:25.737163
80,000001.tar,000001,sucesso,9828,2026-01-07T03:02:25.745653
82,000001.tar,000001,sucesso,11248,2026-01-07T03:02:27.346042
81,000001.tar,000001,sucesso,16680,2026-01-07T03:02:28.684509
78,000001.tar,000001,sucesso,11928,2026-01-07T03:02:29.229765
85,000001.tar,000001,sucesso,12474,2026-01-07T03:02:33.981039
83,000001.tar,000001,sucesso,15316,2026-01-07T03:02:36.070247
84,000001.tar,000001,sucesso,14154,2026-01-07T03:02:36.976145
86,000001.tar,000001,sucesso,12996,2026-01-07T03:02:36.999294
87,000001.tar,000001,sucesso,11818,2026-01-07T03:02:38.222853
88,000001.tar,000001,sucesso,13444,2026-01-07T03:02:43.676183
90,000001.tar,000001,sucesso,13917,2026-01-07T03:02:44.135948
89,000001.tar,000001,sucesso,14656,2026-01-07T03:02:46.714824
96,000001.tar,000001,sucesso,10638,2026-01-07T03:02:57.071935
94,000001.tar,000001,sucesso,13383,2026-01-07T03:02:57.303745
93,000001.tar,000001,sucesso,10807,2026-01-07T03:02:57.535198
95,000001.tar,000001,sucesso,11547,2026-01-07T03:02:58.151736
91,000001.tar,000001,sucesso,15590,2026-01-07T03:02:58.201595
92,000001.tar,000001,sucesso,15184,2026-01-07T03:02:59.204225
97,000001.tar,000001,sucesso,11413,2026-01-07T03:03:04.346452
98,000001.tar,000001,sucesso,15504,2026-01-07T03:03:07.762429
100,000001.tar,000001,sucesso,11566,2026-01-07T03:03:08.738965
99,000001.tar,000001,sucesso,13932,2026-01-07T03:03:10.509557
101,000001.tar,000001,sucesso,10109,2026-01-07T03:03:10.878283
102,000001.tar,000001,sucesso,11077,2026-01-07T03:03:11.279515
103,000001.tar,000001,sucesso,9288,2026-01-07T03:03:11.792747
107,000001.tar,000001,sucesso,8494,2026-01-07T03:03:17.530972
104,000001.tar,000001,sucesso,10248,2026-01-07T03:03:18.399775
105,000001.tar,000001,sucesso,9595,2026-01-07T03:03:18.822763
106,000001.tar,000001,sucesso,14988,2026-01-07T03:03:20.192254
112,000001.tar,000001,sucesso,13621,2026-01-07T03:03:23.980449
109,000001.tar,000001,sucesso,13958,2026-01-07T03:03:23.982191
110,000001.tar,000001,sucesso,16013,2026-01-07T03:03:24.628144
111,000001.tar,000001,sucesso,11166,2026-01-07T03:03:24.917631
113,000001.tar,000001,sucesso,10146,2026-01-07T03:03:32.272411
114,000001.tar,000001,sucesso,9752,2026-01-07T03:03:33.314218
115,000001.tar,000001,sucesso,9710,2026-01-07T03:03:34.638083
116,000001.tar,000001,sucesso,10499,2026-01-07T03:03:34.964163
117,000001.tar,000001,sucesso,9338,2026-01-07T03:03:35.170189
118,000001.tar,000001,sucesso,9346,2026-01-07T03:03:36.791844
120,000001.tar,000001,sucesso,13558,2026-01-07T03:03:40.530648
119,000001.tar,000001,sucesso,14194,2026-01-07T03:03:42.184338
121,000001.tar,000001,sucesso,12271,2026-01-07T03:03:42.663305
127,000001.tar,000001,sucesso,10275,2026-01-07T03:03:56.088547
124,000001.tar,000001,sucesso,14676,2026-01-07T03:03:58.111766
126,000001.tar,000001,sucesso,11456,2026-01-07T03:03:58.195882
125,000001.tar,000001,sucesso,15317,2026-01-07T03:03:58.396248
123,000001.tar,000001,sucesso,11524,2026-01-07T03:03:58.431628
122,000001.tar,000001,sucesso,13650,2026-01-07T03:04:01.052710
129,000001.tar,000001,sucesso,14024,2026-01-07T03:04:04.894050
130,000001.tar,000001,sucesso,12439,2026-01-07T03:04:07.279262
132,000001.tar,000001,sucesso,15420,2026-01-07T03:04:09.065984
131,000001.tar,000001,sucesso,11309,2026-01-07T03:04:09.634263
128,000001.tar,000001,sucesso,18350,2026-01-07T03:04:09.699360
133,000001.tar,000001,sucesso,9917,2026-01-07T03:04:10.152401
134,000001.tar,000001,sucesso,9307,2026-01-07T03:04:14.190125
136,000001.tar,000001,sucesso,11913,2026-01-07T03:04:17.063050
137,000001.tar,000001,sucesso,9982,2026-01-07T03:04:17.941930
138,000001.tar,000001,sucesso,11791,2026-01-07T03:04:18.766927
141,000001.tar,000001,sucesso,8738,2026-01-07T03:04:20.878173
139,000001.tar,000001,sucesso,10478,2026-01-07T03:04:21.016373
140,000001.tar,000001,sucesso,14638,2026-01-07T03:04:25.211013
142,000001.tar,000001,sucesso,14642,2026-01-07T03:04:25.694145
145,000001.tar,000001,sucesso,9260,2026-01-07T03:04:28.270023
143,000001.tar,000001,sucesso,10306,2026-01-07T03:04:28.476654
144,000001.tar,000001,sucesso,15297,2026-01-07T03:04:28.692175
147,000001.tar,000001,sucesso,15435,2026-01-07T03:04:33.717851
150,000001.tar,000001,sucesso,14176,2026-01-07T03:04:36.976403
146,000001.tar,000001,sucesso,11530,2026-01-07T03:04:37.591702
148,000001.tar,000001,sucesso,13977,2026-01-07T03:04:38.657199
151,000001.tar,000001,sucesso,11927,2026-01-07T03:04:42.377744
153,000001.tar,000001,sucesso,12422,2026-01-07T03:04:43.773953
154,000001.tar,000001,sucesso,12165,2026-01-07T03:04:48.381664
158,000001.tar,000001,sucesso,10434,2026-01-07T03:04:56.920928
157,000001.tar,000001,sucesso,9530,2026-01-07T03:04:57.076006
159,000001.tar,000001,sucesso,10247,2026-01-07T03:04:57.412482
156,000001.tar,000001,sucesso,14792,2026-01-07T03:04:58.477541
155,000001.tar,000001,sucesso,12903,2026-01-07T03:05:00.407101
160,000001.tar,000001,sucesso,15754,2026-01-07T03:05:02.582367
162,000001.tar,000001,sucesso,14628,2026-01-07T03:05:06.354782
165,000001.tar,000001,sucesso,15598,2026-01-07T03:05:06.378675
161,000001.tar,000001,sucesso,10699,2026-01-07T03:05:06.749817
164,000001.tar,000001,sucesso,9398,2026-01-07T03:05:06.812876
163,000001.tar,000001,sucesso,14142,2026-01-07T03:05:10.938418
166,000001.tar,000001,sucesso,11341,2026-01-07T03:05:11.906889
167,000001.tar,000001,sucesso,10965,2026-01-07T03:05:16.058382
171,000001.tar,000001,sucesso,7879,2026-01-07T03:05:16.463523
169,000001.tar,000001,sucesso,11813,2026-01-07T03:05:17.864869
168,000001.tar,000001,sucesso,12518,2026-01-07T03:05:18.912789
170,000001.tar,000001,sucesso,11165,2026-01-07T03:05:21.126984
173,000001.tar,000001,sucesso,8518,2026-01-07T03:05:21.295158
172,000001.tar,000001,sucesso,12739,2026-01-07T03:05:23.294603
174,000001.tar,000001,sucesso,9920,2026-01-07T03:05:24.468620
175,000001.tar,000001,sucesso,14285,2026-01-07T03:05:26.764103
176,000001.tar,000001,sucesso,14788,2026-01-07T03:05:28.428198
177,000001.tar,000001,sucesso,12330,2026-01-07T03:05:29.604462
178,000001.tar,000001,sucesso,14632,2026-01-07T03:05:34.191472
181,000001.tar,000001,sucesso,10258,2026-01-07T03:05:35.840376
179,000001.tar,000001,sucesso,11255,2026-01-07T03:05:36.049884
180,000001.tar,000001,sucesso,13571,2026-01-07T03:05:36.714702
182,000001.tar,000001,sucesso,12482,2026-01-07T03:05:42.212978
183,000001.tar,000001,sucesso,10395,2026-01-07T03:05:42.572500
184,000001.tar,000001,sucesso,15478,2026-01-07T03:05:45.024247
186,000001.tar,000001,sucesso,14646,2026-01-07T03:05:56.588890
187,000001.tar,000001,sucesso,9110,2026-01-07T03:05:57.654679
189,000001.tar,000001,sucesso,14098,2026-01-07T03:05:59.175648
185,000001.tar,000001,sucesso,17705,2026-01-07T03:06:01.451604
188,000001.tar,000001,sucesso,12521,2026-01-07T03:06:01.622621
193,000001.tar,000001,sucesso,9878,2026-01-07T03:06:04.949017
191,000001.tar,000001,sucesso,11782,2026-01-07T03:06:06.408637
195,000001.tar,000001,sucesso,11122,2026-01-07T03:06:07.567947
194,000001.tar,000001,sucesso,12557,2026-01-07T03:06:11.970454
196,000001.tar,000001,sucesso,15389,2026-01-07T03:06:12.647567
190,000001.tar,000001,sucesso,17475,2026-01-07T03:06:12.953041
197,000001.tar,000001,sucesso,9706,2026-01-07T03:06:14.154079
198,000001.tar,000001,sucesso,8092,2026-01-07T03:06:14.222214
192,000001.tar,000001,sucesso,15929,2026-01-07T03:06:18.665153
203,000001.tar,000001,sucesso,14801,2026-01-07T03:06:20.283233
199,000001.tar,000001,sucesso,12034,2026-01-07T03:06:20.661042
200,000001.tar,000001,sucesso,12420,2026-01-07T03:06:20.906198
201,000001.tar,000001,sucesso,10478,2026-01-07T03:06:21.070615
202,000001.tar,000001,sucesso,9381,2026-01-07T03:06:21.299508
204,000001.tar,000001,sucesso,11143,2026-01-07T03:06:25.129322
205,000001.tar,000001,sucesso,11675,2026-01-07T03:06:27.152216
207,000001.tar,000001,sucesso,14642,2026-01-07T03:06:28.235505
206,000001.tar,000001,sucesso,12303,2026-01-07T03:06:28.957423
209,000001.tar,000001,sucesso,14961,2026-01-07T03:06:33.828592
208,000001.tar,000001,sucesso,11643,2026-01-07T03:06:34.050722
211,000001.tar,000001,sucesso,15698,2026-01-07T03:06:34.460718
210,000001.tar,000001,sucesso,8936,2026-01-07T03:06:36.351737
213,000001.tar,000001,sucesso,9265,2026-01-07T03:06:39.889069
212,000001.tar,000001,sucesso,12645,2026-01-07T03:06:42.327419
214,000001.tar,000001,sucesso,9103,2026-01-07T03:06:42.810509
216,000001.tar,000001,sucesso,11946,2026-01-07T03:06:56.823119
220,000001.tar,000001,sucesso,10681,2026-01-07T03:06:57.117950
218,000001.tar,000001,sucesso,12554,2026-01-07T03:06:57.571706
219,000001.tar,000001,sucesso,11044,2026-01-07T03:06:57.678419
215,000001.tar,000001,sucesso,11354,2026-01-07T03:06:59.337763
217,000001.tar,000001,sucesso,10037,2026-01-07T03:07:00.259679
221,000001.tar,000001,sucesso,10250,2026-01-07T03:07:05.456731
225,000001.tar,000001,sucesso,14284,2026-01-07T03:07:07.529809
222,000001.tar,000001,sucesso,11487,2026-01-07T03:07:09.493490
223,000001.tar,000001,sucesso,14942,2026-01-07T03:07:09.979265
226,000001.tar,000001,sucesso,12280,2026-01-07T03:07:13.929195
224,000001.tar,000001,sucesso,13214,2026-01-07T03:07:14.460132
227,000001.tar,000001,sucesso,14369,2026-01-07T03:07:17.486886
229,000001.tar,000001,sucesso,10631,2026-01-07T03:07:17.910690
228,000001.tar,000001,sucesso,12179,2026-01-07T03:07:18.019627
230,000001.tar,000001,sucesso,11793,2026-01-07T03:07:19.601460
231,000001.tar,000001,sucesso,9321,2026-01-07T03:07:20.556126
232,000001.tar,000001,sucesso,14351,2026-01-07T03:07:23.298621
233,000001.tar,000001,sucesso,9805,2026-01-07T03:07:24.776167
237,000001.tar,000001,sucesso,14944,2026-01-07T03:07:27.730559
235,000001.tar,000001,sucesso,12343,2026-01-07T03:07:28.626784
236,000001.tar,000001,sucesso,12138,2026-01-07T03:07:28.851086
234,000001.tar,000001,sucesso,12207,2026-01-07T03:07:29.739977
239,000001.tar,000001,sucesso,11860,2026-01-07T03:07:32.881576
238,000001.tar,000001,sucesso,12372,2026-01-07T03:07:33.641848
240,000001.tar,000001,sucesso,11342,2026-01-07T03:07:38.024096
241,000001.tar,000001,sucesso,11417,2026-01-07T03:07:38.946614
242,000001.tar,000001,sucesso,10480,2026-01-07T03:07:39.316738
243,000001.tar,000001,sucesso,8576,2026-01-07T03:07:40.785572
244,000001.tar,000001,sucesso,9372,2026-01-07T03:07:45.185427
250,000001.tar,000001,sucesso,9496,2026-01-07T03:07:55.383847
249,000001.tar,000001,sucesso,13592,2026-01-07T03:07:56.339090
247,000001.tar,000001,sucesso,14338,2026-01-07T03:07:56.842071
246,000001.tar,000001,sucesso,10041,2026-01-07T03:07:57.622097
248,000001.tar,000001,sucesso,12384,2026-01-07T03:07:58.192879
245,000001.tar,000001,sucesso,15931,2026-01-07T03:08:03.123991
251,000001.tar,000001,sucesso,10224,2026-01-07T03:08:05.016727
252,000001.tar,000001,sucesso,12917,2026-01-07T03:08:06.717235
253,000001.tar,000001,sucesso,13662,2026-01-07T03:08:06.971833
254,000001.tar,000001,sucesso,10708,2026-01-07T03:08:07.986625
255,000001.tar,000001,sucesso,10694,2026-01-07T03:08:11.918170
256,000001.tar,000001,sucesso,9800,2026-01-07T03:08:11.934422
257,000001.tar,000001,sucesso,11882,2026-01-07T03:08:13.452612
258,000001.tar,000001,sucesso,14023,2026-01-07T03:08:13.840828
259,000001.tar,000001,sucesso,10130,2026-01-07T03:08:19.893536
262,000001.tar,000001,sucesso,9718,2026-01-07T03:08:21.702086
261,000001.tar,000001,sucesso,15425,2026-01-07T03:08:22.196117
260,000001.tar,000001,sucesso,12159,2026-01-07T03:08:22.989627
267,000001.tar,000001,sucesso,14431,2026-01-07T03:08:26.232441
263,000001.tar,000001,sucesso,11837,2026-01-07T03:08:28.749404
265,000001.tar,000001,sucesso,12675,2026-01-07T03:08:29.410914
264,000001.tar,000001,sucesso,12598,2026-01-07T03:08:30.942162
268,000001.tar,000001,sucesso,7944,2026-01-07T03:08:31.988889
269,000001.tar,000001,sucesso,10503,2026-01-07T03:08:34.156649
270,000001.tar,000001,sucesso,9961,2026-01-07T03:08:34.548133
266,000001.tar,000001,sucesso,11906,2026-01-07T03:08:36.838906
273,000001.tar,000001,sucesso,9752,2026-01-07T03:08:40.554804
271,000001.tar,000001,sucesso,13187,2026-01-07T03:08:40.860204
272,000001.tar,000001,sucesso,11238,2026-01-07T03:08:41.296263
274,000001.tar,000001,sucesso,14308,2026-01-07T03:08:42.430642
277,000001.tar,000001,sucesso,12038,2026-01-07T03:08:57.964314
275,000001.tar,000001,sucesso,10555,2026-01-07T03:08:58.133712
276,000001.tar,000001,sucesso,10073,2026-01-07T03:08:58.409670
279,000001.tar,000001,sucesso,9915,2026-01-07T03:09:00.465440
278,000001.tar,000001,sucesso,16115,2026-01-07T03:09:00.806873
280,000001.tar,000001,sucesso,13795,2026-01-07T03:09:02.522948
281,000001.tar,000001,sucesso,10392,2026-01-07T03:09:06.070843
283,000001.tar,000001,sucesso,11527,2026-01-07T03:09:07.219460
282,000001.tar,000001,sucesso,17726,2026-01-07T03:09:09.971930
285,000001.tar,000001,sucesso,12248,2026-01-07T03:09:12.144551
286,000001.tar,000001,sucesso,9476,2026-01-07T03:09:12.277284
284,000001.tar,000001,sucesso,13494,2026-01-07T03:09:13.207370
287,000001.tar,000001,sucesso,12160,2026-01-07T03:09:15.974133
288,000001.tar,000001,sucesso,13016,2026-01-07T03:09:18.001559
290,000001.tar,000001,sucesso,11292,2026-01-07T03:09:18.721912
291,000001.tar,000001,sucesso,14097,2026-01-07T03:09:19.805438
289,000001.tar,000001,sucesso,15073,2026-01-07T03:09:22.387108
293,000001.tar,000001,sucesso,8111,2026-01-07T03:09:25.319500
292,000001.tar,000001,sucesso,11907,2026-01-07T03:09:25.468413
294,000001.tar,000001,sucesso,10535,2026-01-07T03:09:26.425018
295,000001.tar,000001,sucesso,12858,2026-01-07T03:09:27.230458
296,000001.tar,000001,sucesso,14611,2026-01-07T03:09:28.728508
297,000001.tar,000001,sucesso,13884,2026-01-07T03:09:32.064217
299,000001.tar,000001,sucesso,14347,2026-01-07T03:09:32.868040
298,000001.tar,000001,sucesso,14931,2026-01-07T03:09:36.011548
301,000001.tar,000001,sucesso,10914,2026-01-07T03:09:36.620761
303,000001.tar,000001,sucesso,11912,2026-01-07T03:09:40.271717
300,000001.tar,000001,sucesso,14098,2026-01-07T03:09:40.427303
302,000001.tar,000001,sucesso,13262,2026-01-07T03:09:44.210946
304,000001.tar,000001,sucesso,14108,2026-01-07T03:09:44.479600
308,000001.tar,000001,sucesso,9521,2026-01-07T03:09:55.774742
310,000001.tar,000001,sucesso,7936,2026-01-07T03:09:56.869784
307,000001.tar,000001,sucesso,10221,2026-01-07T03:09:58.395578
306,000001.tar,000001,sucesso,14900,2026-01-07T03:10:00.712561
311,000001.tar,000001,sucesso,13769,2026-01-07T03:10:02.640860
309,000001.tar,000001,sucesso,12033,2026-01-07T03:10:02.750467
305,000001.tar,000001,sucesso,13113,2026-01-07T03:10:05.038264
315,000001.tar,000001,sucesso,13020,2026-01-07T03:10:09.659213
314,000001.tar,000001,sucesso,10921,2026-01-07T03:10:10.123138
312,000001.tar,000001,sucesso,13453,2026-01-07T03:10:10.645349
313,000001.tar,000001,sucesso,12086,2026-01-07T03:10:12.901093
316,000001.tar,000001,sucesso,10165,2026-01-07T03:10:14.137724
317,000001.tar,000001,sucesso,10911,2026-01-07T03:10:16.792105
321,000001.tar,000001,sucesso,9210,2026-01-07T03:10:19.786245
319,000001.tar,000001,sucesso,14562,2026-01-07T03:10:20.282536
322,000001.tar,000001,sucesso,10595,2026-01-07T03:10:21.702696
318,000001.tar,000001,sucesso,12087,2026-01-07T03:10:22.487413
320,000001.tar,000001,sucesso,12446,2026-01-07T03:10:24.257668
