pagina,num_registros_ok,id_chunk,timestamp
1,40,1,2026-01-06T06:11:33.610811
2,27,1,2026-01-06T06:11:33.620533
3,48,1,2026-01-06T06:11:35.703029
7,50,1,2026-01-06T06:11:37.964204
8,50,1,2026-01-06T06:11:38.353403
10,50,1,2026-01-06T06:11:40.726058
5,50,1,2026-01-06T06:11:42.532456
9,50,1,2026-01-06T06:11:42.812769
11,50,1,2026-01-06T06:11:43.594077
6,50,1,2026-01-06T06:11:44.577592
4,50,1,2026-01-06T06:11:44.742913
12,44,1,2026-01-06T06:11:45.506208
13,0,0,2026-01-06T06:11:45.633163
16,2,1,2026-01-06T06:11:47.714180
17,7,1,2026-01-06T06:11:48.598947
14,0,0,2026-01-06T06:11:49.008284
15,0,0,2026-01-06T06:11:49.134134
18,3,1,2026-01-06T06:11:49.687936
21,50,1,2026-01-06T06:11:51.081752
19,27,1,2026-01-06T06:11:51.452063
23,9,1,2026-01-06T06:11:53.195347
24,5,1,2026-01-06T06:11:54.734292
22,50,1,2026-01-06T06:11:55.753051
26,6,1,2026-01-06T06:11:55.788153
25,0,0,2026-01-06T06:11:56.288405
20,50,1,2026-01-06T06:11:56.308051
30,50,1,2026-01-06T06:12:00.036232
27,50,1,2026-01-06T06:12:03.340806
33,50,1,2026-01-06T06:12:05.120126
28,50,1,2026-01-06T06:12:05.516658
34,49,1,2026-01-06T06:12:07.250091
29,50,1,2026-01-06T06:12:09.012891
36,50,1,2026-01-06T06:12:09.715624
31,50,1,2026-01-06T06:12:09.775129
35,50,1,2026-01-06T06:12:09.886908
